image,mask
RIGA/MESSIDOR_Base2/Labeled/image176.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image176.tif
RIGA/MESSIDOR_Base2/Labeled/image178.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image178.tif
RIGA/MESSIDOR_Base2/Labeled/image184.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image184.tif
RIGA/MESSIDOR_Base2/Labeled/image190.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image190.tif
RIGA/MESSIDOR_Base2/Labeled/image191.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image191.tif
RIGA/MESSIDOR_Base2/Labeled/image193.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image193.tif
RIGA/MESSIDOR_Base2/Labeled/image198.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image198.tif
RIGA/MESSIDOR_Base2/Labeled/image202.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image202.tif
RIGA/MESSIDOR_Base2/Labeled/image209.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image209.tif
RIGA/MESSIDOR_Base2/Labeled/image213.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image213.tif
RIGA/MESSIDOR_Base2/Labeled/image216.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image216.tif
RIGA/MESSIDOR_Base2/Labeled/image222.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image222.tif
RIGA/MESSIDOR_Base2/Labeled/image225.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image225.tif
RIGA/MESSIDOR_Base2/Labeled/image228.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image228.tif
RIGA/MESSIDOR_Base2/Labeled/image234.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image234.tif
RIGA/MESSIDOR_Base2/Labeled/image241.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image241.tif
RIGA/MESSIDOR_Base2/Labeled/image243.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image243.tif
RIGA/MESSIDOR_Base2/Labeled/image245.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image245.tif
RIGA/MESSIDOR_Base2/Labeled/image264.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image264.tif
RIGA/MESSIDOR_Base2/Labeled/image266.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image266.tif
RIGA/MESSIDOR_Base2/Labeled/image267.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image267.tif
RIGA/MESSIDOR_Base2/Labeled/image269.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image269.tif
RIGA/MESSIDOR_Base2/Labeled/image282.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image282.tif
RIGA/MESSIDOR_Base2/Labeled/image284.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image284.tif
RIGA/MESSIDOR_Base2/Labeled/image291.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image291.tif
RIGA/MESSIDOR_Base2/Labeled/image293.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image293.tif
RIGA/MESSIDOR_Base2/Labeled/image296.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image296.tif
RIGA/MESSIDOR_Base2/Labeled/image298.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image298.tif
RIGA/MESSIDOR_Base2/Labeled/image301.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image301.tif
RIGA/MESSIDOR_Base2/Labeled/image319.tif,RIGA-mask/MESSIDOR_Base2/Labeled/image319.tif
