image,mask
RIGA/BinRushed/BinRushed1/image1.tif,RIGA-mask/BinRushed/BinRushed1/image1.tif
RIGA/BinRushed/BinRushed1/image10.tif,RIGA-mask/BinRushed/BinRushed1/image10.tif
RIGA/BinRushed/BinRushed1/image11.tif,RIGA-mask/BinRushed/BinRushed1/image11.tif
RIGA/BinRushed/BinRushed1/image12.tif,RIGA-mask/BinRushed/BinRushed1/image12.tif
RIGA/BinRushed/BinRushed1/image13.tif,RIGA-mask/BinRushed/BinRushed1/image13.tif
RIGA/BinRushed/BinRushed1/image14.tif,RIGA-mask/BinRushed/BinRushed1/image14.tif
RIGA/BinRushed/BinRushed1/image15.tif,RIGA-mask/BinRushed/BinRushed1/image15.tif
RIGA/BinRushed/BinRushed1/image16.tif,RIGA-mask/BinRushed/BinRushed1/image16.tif
RIGA/BinRushed/BinRushed1/image17.tif,RIGA-mask/BinRushed/BinRushed1/image17.tif
RIGA/BinRushed/BinRushed1/image18.tif,RIGA-mask/BinRushed/BinRushed1/image18.tif
RIGA/BinRushed/BinRushed1/image2.tif,RIGA-mask/BinRushed/BinRushed1/image2.tif
RIGA/BinRushed/BinRushed1/image20.tif,RIGA-mask/BinRushed/BinRushed1/image20.tif
RIGA/BinRushed/BinRushed1/image21.tif,RIGA-mask/BinRushed/BinRushed1/image21.tif
RIGA/BinRushed/BinRushed1/image22.tif,RIGA-mask/BinRushed/BinRushed1/image22.tif
RIGA/BinRushed/BinRushed1/image23.tif,RIGA-mask/BinRushed/BinRushed1/image23.tif
RIGA/BinRushed/BinRushed1/image26.tif,RIGA-mask/BinRushed/BinRushed1/image26.tif
RIGA/BinRushed/BinRushed1/image27.tif,RIGA-mask/BinRushed/BinRushed1/image27.tif
RIGA/BinRushed/BinRushed1/image29.tif,RIGA-mask/BinRushed/BinRushed1/image29.tif
RIGA/BinRushed/BinRushed1/image3.tif,RIGA-mask/BinRushed/BinRushed1/image3.tif
RIGA/BinRushed/BinRushed1/image30.tif,RIGA-mask/BinRushed/BinRushed1/image30.tif
RIGA/BinRushed/BinRushed1/image31.tif,RIGA-mask/BinRushed/BinRushed1/image31.tif
RIGA/BinRushed/BinRushed1/image32.tif,RIGA-mask/BinRushed/BinRushed1/image32.tif
